Super	TOP	SUBTOP	Headword	Definition	SOUND	
Animals	Aquatic Life	Mollusks & Crustaceans	tl’uxwtl’uxw 	oyster *	OYSTER.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	xihwu 		sea_urchin_purple.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	skw’itth’i’ 	"sea egg, sea urchin (small type, green with short spines)*"	sea_urchin_green.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	thikwt 	sea cucumber (red or black)*	seacucumber.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	sqi’mukw’ 	octopus*	octopus3.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	tumulqlh 	starfish - sea star  *	STARFISH.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	qumine’ 	abalone*	"abalone.wav, "	
Animals	Aquatic Life	Mollusks & Crustaceans	s’eyuw’ 	abalone shell*	"abalone_shell.wav, ABALONES.WAV"	
Animals	Aquatic Life	Mollusks & Crustaceans	tth’umay’u 	barnacle*	barnacle.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	q’uye’mun 	shell: sea shells*	seashells.wav	
Animals	Aquatic Life	Mollusks & Crustaceans	xxx	crayfish *	bulrush mat.wav	
Animals	Aquatic Life	Sea Plants	q’am’ 	bulp kelp * marked	kelp_bulb.wav	
Animals	Aquatic Life	Sea Plants	lhuq’us 	seaweed *  	seaweed.wav	
Animals	Aquatic Life	Sea Plants	xxx	bladderwrack 	bulrush mat.wav	
Animals	Aquatic Life	Sea Plants	xxx	rock weed ? 	bulrush mat.wav	
World around us	Buildings, Places 	Public Buildings, Places	skwoulew’t-hw 	school (school house)		
World around us	Buildings, Places 	Public Buildings, Places	skwoukwul’ 	school: going to school		
World around us	Buildings, Places 	Public Buildings, Places	shhwiw’a’lum’ 	playground		
World around us	Buildings, Places 	Public Buildings, Places	q’aq’iyew’t-hw 	hospital		
World around us	Buildings, Places 	Public Buildings, Places	shhwimelu 	"store, market"		
World around us	Buildings, Places 	Public Buildings, Places	telew’t-hw 	bank 		
World around us	Buildings, Places 	Public Buildings, Places	shtth’ulutth’a’ 	museum		
World around us	Buildings, Places 	Public Buildings, Places	shq’uluts’thut 	shelter: a place to shelter oneself		
World around us	Buildings, Places 	Public Buildings, Places	q’il’ew’t-hw 	smoke house		
World around us	Buildings, Places 	Public Buildings, Places	silew’t-hw 	tent		
World around us	Buildings, Places 	Public Buildings, Places	qiq’qiq’ul’sew’t-hw 	jail 		
World around us	Buildings, Places 	Public Buildings, Places	yalhew’t-hw 	woodshed	WOOSHED.WAV	
World around us	Buildings, Places 	Home	lelum’ 	"house, dwelling"	house.wav	
World around us	Buildings, Places 	Home	’a’mut 	home: staying home		
World around us	Buildings, Places 	Home	t’akw’ 	home: go home		
World around us	Buildings, Places 	Home	hun’umut 	home: get home		
World around us	Buildings, Places 	Home	t’at’ukw’ 	home: going home		
World around us	Buildings, Places 	Ceremonial, Traditional, Longhouse	milhew’t-hw 	dance house		
World around us	Buildings, Places 	Ceremonial, Traditional, Longhouse	tse’lumunew’t-hw 	log house		
World around us	Buildings, Places 	Ceremonial, Traditional, Longhouse	shxuxey’elu 	crying place		
World around us	Buildings, Places 	Ceremonial, Traditional, Longhouse	kweyulutstun 	opening to let light in/smoke out in bighouse		
World around us	Buildings, Places 	Ceremonial, Traditional, Longhouse	snuqin’ 	other room (other end of the longhouse)		
World around us	Buildings, Places 	Ceremonial, Traditional, Longhouse	qequn’ 	"posts, corner-posts in longhouse"		
World around us	Buildings, Places 	Ceremonial, Traditional, Longhouse	Parts of a Building, Rooms			
World around us	Buildings, Places 	Ceremonial, Traditional, Longhouse	’umutew’t-hw 	"bathroom, restroom"		
World around us	Buildings, Places 	Ceremonial, Traditional, Longhouse	lhuxunuptun 	floor		
World around us	Buildings, Places 	Ceremonial, Traditional, Longhouse	t’amun 	wall		
World around us	Buildings, Places 	Ceremonial, Traditional, Longhouse	shq’uy’tth’uxun 	corner		
World around us	Buildings, Places 	Ceremonial, Traditional, Longhouse	si’qutsun 	"roof, shed without side walls or veranda"		
